Type,x,y,angle
S,49,50,90
O,320,233,0
O,226,15,0
B,140,16,0
O,23,249,0
O,266,19,0
O,522,124,0
O,320,146,0
B,420,155,90
X,121,158,0
X,403,240,0
X,455,68,0
