Type,x,y,angle
S,671.3,196,261
O,938,76.8,351
O,918.4,-21.3,351
B,543.8,29.9,351
O,755.5,216.1,351
O,1071.4,184.3,351
O,628.6,15.5,351
O,1098.9,57.4,351
B,842.1,123.4,441
X,699.9,56.8,0
X,480.6,193.8,0
